x_value,y_value
-12.510345458709583,-9.998380989384001
-12.510380673846933,-9.998375536096008
-12.510415888532538,-9.998370080814336
-12.510451102766881,-9.998364623530847
-12.51048666868599,-9.998359109634297
-12.51052152988372,-9.998353702925789
-12.510556742767273,-9.998348239587784
-12.510591955201626,-9.998342774215145
-12.510627167187348,-9.998337306799543
-12.510662378725039,-9.998331837332705
-12.510697941923935,-9.998326311080572
-12.510732800458724,-9.998320892211877
-12.510768010655985,-9.998315416541129
-12.510803220407686,-9.998309938785601
-12.510838429714523,-9.998304458936804
-12.510873638577191,-9.998298976986257
-12.510908846996376,-9.998293492925445
-12.5109444070504,-9.998287951873262
-12.510979614580531,-9.99828246354484
-12.51101446960075,-9.998277027995538
-12.511049676253652,-9.998271535407703
-12.511085234526867,-9.998265985708152
-12.511120088241492,-9.99826054376316
-12.511155293578117,-9.998255044689008
-12.511190498477669,-9.998249543435227
-12.511225702941065,-9.998244039993015
-12.511260906969218,-9.998238534353543
-12.511296110563057,-9.99823302650795
-12.511331313723563,-9.998227516447315
-12.51136651645167,-9.998222004162697
-12.511401718748397,-9.998216489645134
-12.511436920614775,-9.998210972885628
-12.51147247406404,-9.998205398673656
-12.511507323060647,-9.998199932604628
-12.51154252364229,-9.998194409064961
-12.511577723797885,-9.998188883247023
-12.511612923528556,-9.998183355141656
-12.511648122835453,-9.99817782473964
-12.511683321719813,-9.998172292031802
-12.511718520182791,-9.998166757008782
-12.511753718225622,-9.998161219661368
-12.511788915849547,-9.998155679980234
-12.511824113055875,-9.998150137955975
-12.5118593098459,-9.998144593579234
-12.51189450622094,-9.998139046840569
-12.51192970218234,-9.998133497730532
-12.511964897731481,-9.99812794623962
-12.512000092869771,-9.998122392358308
-12.51203528759865,-9.998116836077047
-12.512070481919542,-9.998111277386228
-12.512105675833947,-9.998105716276223
-12.512140869355843,-9.998100152749492
-12.51217606255797,-9.998094586863077
-12.512211255454831,-9.998089018618247
-12.512246448048376,-9.998083448005621
-12.512281288419073,-9.998077930757471
-12.51231683233323,-9.998072299639265
-12.512352024028562,-9.998066721866618
-12.512387215428497,-9.998061141688295
-12.512422758444709,-9.99805550325656
-12.512457597350506,-9.998049974076341
-12.5124927878768,-9.998044386623535
-12.512527978116129,-9.998038796726634
-12.512563168070676,-9.998033204375936
-12.512598357742663,-9.998027609561742
-12.512633547134316,-9.998022012274292
-12.512668736247921,-9.998016412503818
-12.512703925085772,-9.998010810240475
-12.51273911365022,-9.99800520547443
-12.512775005706745,-9.99799948602452
-12.51280948996839,-9.997993988394638
-12.51284467772694,-9.997988376060974
-12.51287885651721,-9.997982922180084
-12.512915052455352,-9.997977143756177
-12.51294812821899,-9.997971861036884
-12.512985426148992,-9.99796590120108
-12.51302061261416,-9.997960276054409
-12.513055798828471,-9.997954648314765
-12.513090984794554,-9.997949017971951
-12.513126170515102,-9.997943385015759
-12.513161355992883,-9.997937749435891
-12.513196541230664,-9.997932111222035
-12.513231726231254,-9.997926470363877
-12.513267262843977,-9.99792077040243
-12.51330244737646,-9.997915124197764
-12.51333727983852,-9.997909531819538
-12.513372463919195,-9.997903880280003
-12.513407647777289,-9.997898226043935
-12.513442831415846,-9.99789256910075
-12.513478014837924,-9.99788690943989
-12.513513198046665,-9.997881247050726
-12.513548381045203,-9.997875581922589
-12.51358356383671,-9.997869914044774
-12.513618746424447,-9.997864243406566
-12.513653928811653,-9.99785856999714
-12.51368911100167,-9.99785289380577
-12.513724292997862,-9.997847214821572
-12.513759474803559,-9.997841533033695
-12.513795008237507,-9.99783579157095
-12.513831245111025,-9.99782993344714
-12.513866074547403,-9.997824299986785
-12.513900903810924,-9.997818663735202
-12.513935381096877,-9.997813081655844
-12.513970561833402,-9.997807382815386
-12.514005742404365,-9.997801681094106
-12.51404092281351,-9.997795976480818
-12.514076103064621,-9.997790268964328
-12.514111283161514,-9.997784558533416
-12.514146463108029,-9.997778845176782
-12.514181642908166,-9.997773128883116
-12.514216822565826,-9.997767409641085
-12.514252002085028,-9.997761687439272
-12.51428718146975,-9.99775596226626
-12.514322360724135,-9.997750234110606
-12.51435753985233,-9.997744502960789
-12.514392718858563,-9.997738768805329
-12.514427897747023,-9.997733031632556
-12.514463076522038,-9.997727291430925
-12.51449825518794,-9.997721548188784
-12.514533433749106,-9.997715801894444
-12.514568612209963,-9.99771005253616
-12.514603790575023,-9.997704300102196
-12.514638968848816,-9.997698544580746
-12.514674147035917,-9.997692785959998
-12.514709325140979,-9.997687024228055
-12.514744854948598,-9.997681201708646
-12.514779681123795,-9.997675491382939
-12.514814859011077,-9.997669720245836
-12.514850036835398,-9.997663945949675
-12.514885214604957,-9.997658168485374
-12.51492039249572,-9.997652388001782
-12.514955570613012,-9.997646604581464
-12.514990748962987,-9.997640818213167
-12.515025927551903,-9.997635028885613
-12.515061106386055,-9.997629236587478
-12.515096285471737,-9.997623441307427
-12.515131464815402,-9.997617643034058
-12.515166644423497,-9.997611841755973
-12.515202176102731,-9.997605979403485
-12.515237356262142,-9.99760017205122
-12.51527218489998,-9.997594419778622
-12.515307365631742,-9.997588606366762
-12.515342546661238,-9.997582789892554
-12.515377727995299,-9.997576970344394
-12.515412909640865,-9.997571147710635
-12.51544809160493,-9.997565321979561
-12.515483273894521,-9.997559493139448
-12.515518456516746,-9.997553661178546
-12.515553639478837,-9.997547826085041
-12.515589526457816,-9.997541871050213
-12.515624006451665,-9.997536146452925
-12.515659190477121,-9.997530301890531
-12.515694374871874,-9.997524454148003
-12.515729911493079,-9.997518544687916
-12.515764744799435,-9.997512749074758
-12.51579993034754,-9.997506891719986
-12.51583511629553,-9.99750103113695
-12.515870302651184,-9.997495167313609
-12.515905489422423,-9.99748930023783
-12.515940676617213,-9.997483429897459
-12.51597586424361,-9.997477556280286
-12.516011052309693,-9.997471679374074
-12.5160462408237,-9.997465799166543
-12.516081429793909,-9.997459915645388
-12.516116619228644,-9.997454028798254
-12.516151809136344,-9.997448138612773
-12.516186999525534,-9.997442245076526
-12.516222190404779,-9.997436348177072
-12.51625738178275,-9.997430447901955
-12.516292573668164,-9.997424544238628
-12.516327766069898,-9.997418637174558
-12.516362958996854,-9.99741272669718
-12.516398152457997,-9.997406812793896
-12.516433346462396,-9.997400895452014
-12.51646854101921,-9.997394974658866
-12.516503736137661,-9.997389050401761
-12.51653893182706,-9.997383122667912
-12.516574128096902,-9.997377191444585
-12.516609324956622,-9.997371256718948
-12.516644522415802,-9.997365318478165
-12.516679720484097,-9.997359376709346
-12.516714919171289,-9.997353431399578
-12.516750118487225,-9.99734748253594
-12.516785318441846,-9.997341530105436
-12.51682051904514,-9.997335574095066
-12.51685607232324,-9.997329554877554
-12.516890922238405,-9.997323651282516
-12.516926476878426,-9.997317624767485
-12.516961328149018,-9.997311713993426
-12.516996532149363,-9.997305739887338
-12.517032088911227,-9.997299702326451
-12.51706694229308,-9.997293780686048
-12.51710214845787,-9.997287795564342
-12.517137355365756,-9.997281806744214
-12.51717256302767,-9.997275814212284
-12.517207771454704,-9.99726981795522
-12.517242980658006,-9.997263817959633
-12.517278190640546,-9.997257814211833
-12.517313401233565,-9.99725180669715
-12.517348612245454,-9.997245795405105
-12.51738382368466,-9.997239780322651
-12.517419035561247,-9.997233761436474
-12.517454247885317,-9.997227738733242
-12.517489812797281,-9.99722165191486
-12.517524673916967,-9.997215681822132
-12.517559887645335,-9.99720964758745
-12.517595101862703,-9.997203609482089
-12.517630316579735,-9.997197567492568
-12.517665531807147,-9.997191521605396
-12.517700747555736,-9.997185471807015
-12.517735963836504,-9.997179418083885
-12.517771180660429,-9.997173360422408
-12.517806398038637,-9.997167298808952
-12.517841615982393,-9.997161233229898
-12.517876834503017,-9.997155163671572
-12.517912053611973,-9.997149090120265
-12.517947977721198,-9.997142890970121
-12.517982493641224,-9.997136930983736
-12.518017714584941,-9.997130845370975
-12.518052936163857,-9.997124755710155
-12.518088158389954,-9.997118661987457
-12.518123381275355,-9.997112564189027
-12.518158604832287,-9.997106462300964
-12.518193829073057,-9.99710035630936
-12.518229054010106,-9.997094246200291
-12.51826427965595,-9.997088131959783
-12.518299858290655,-9.997081952369035
-12.518334733124904,-9.997075891028524
-12.51837031325598,-9.99706970302138
-12.518405189582628,-9.997063633403336
-12.518440418964884,-9.997057498295383
-12.518475649133718,-9.997051358971731
-12.518510880102498,-9.997045215418234
-12.518546111884694,-9.997039067620767
