x_value,y_value
-12.50327532295191,-9.999440700721474
-12.503283663170974,-9.999439404136721
-12.503323382799511,-9.999433235357337
-12.503363109369113,-9.999427075490583
-12.503402841850177,-9.999420924441552
-12.503442579920277,-9.999414782120713
-12.50348232350698,-9.999408648438738
-12.503522072538773,-9.999402523307204
-12.503561826945285,-9.99939640663874
-12.503601586657075,-9.99939029834692
-12.503641351605763,-9.999384198346347
-12.503681121723822,-9.999378106552527
-12.503720896944769,-9.999372022881907
-12.503760677203035,-9.999365947251961
-12.503800462433942,-9.999359879581023
-12.503840252573747,-9.999353819788407
-12.503880047559589,-9.999347767794193
-12.503919847329508,-9.999341723519542
-12.50395965182243,-9.99933568688643
-12.503999460978052,-9.999329657816112
-12.504039274737105,-9.999323636186071
-12.504079093041321,-9.999317621562485
-12.50411891583327,-9.999311613740867
-12.504158743056305,-9.999305612653973
-12.504198176317031,-9.999299678146672
-12.504238410572695,-9.999293630419038
-12.504278250756585,-9.999287649140141
-12.50431809515247,-9.999281674334322
-12.504357943707491,-9.999275705937974
-12.504397796369387,-9.999269743888103
-12.504437653086697,-9.999263788122569
-12.504477513808686,-9.999257838579807
-12.504517378485243,-9.999251895198976
-12.504557247066893,-9.999245957919882
-12.504597119796703,-9.99924002696069
-12.504636997180066,-9.99923410278035
-12.504676879174687,-9.999228185324627
-12.504716765725332,-9.999222274527959
-12.504756257844848,-9.999216429335132
-12.504796552277242,-9.999210472653221
-12.504836029332552,-9.999204615687427
-12.504874493611297,-9.999198836974799
-12.50491297487025,-9.99919305839346
-12.504951473113763,-9.99918727996443
-12.50498998833534,-9.99918150168881
-12.505028520528574,-9.999175723567728
-12.505067069686962,-9.999169945602297
-12.505105635804064,-9.99916416779363
-12.505144218873403,-9.999158390142812
-12.505182404951858,-9.999152666346093
-12.505221435843078,-9.999146835319188
-12.505260069730449,-9.999141058148593
-12.50529872054424,-9.999135281140294
-12.505337388277967,-9.999129504295349
-12.505376072925214,-9.999123727614904
-12.505414774479497,-9.999117951100054
-12.505453492934379,-9.999112174751872
-12.50549222828337,-9.999106398571456
-12.505530980520017,-9.999100622559947
-12.505569749637843,-9.999094846718421
-12.505608535630406,-9.99908907104797
-12.505647338491245,-9.999083295549662
-12.404265379287159,-9.999178800439392
-12.204304258682203,-9.999238745530247
-12.004331492210492,-9.999198909132694
-11.804356083917467,-9.99909215956856
-11.60438475852252,-9.998946173596313
-11.404415447003903,-9.998766685728665
-11.20444886855163,-9.998549467264306
-11.006481292618762,-9.998302065785923
-10.804511331726989,-9.997973706657959
-10.604536686191809,-9.997584064884236
-10.404563544730241,-9.997141572385953
-10.204592757903747,-9.996654153544126
-10.004626318271281,-9.996137260203223
-9.804660200808033,-9.995591909347535
-9.604692646092202,-9.994983143976807
-9.404720943964914,-9.994315952180349
-9.204747870939716,-9.993581166835733
-9.004775718309908,-9.992790650891166
-8.804808905655904,-9.9919731299066
-8.60484347105704,-9.991125274833392
-8.487823988601878,-9.99026112461697
-8.489382480749,-9.990400248339977
-8.490664245995614,-9.990856153101717
-8.491791198540419,-9.991732792282503
-8.492645634713108,-9.99291425662783
-8.493143704595628,-9.994289566414965
-8.493261537244575,-9.99469130299598
-8.492936425422263,-9.993403133369052
-8.49229427727051,-9.992297393064632
-8.491426263872523,-9.991484921684101
-8.490250855910492,-9.990873157463927
-8.48893325643687,-9.990604240237886
